data_date;idrpt;idpet;version;cnc_id;cnt_id;fh;season;et;c;d1;d2;zip_file;xml_file;partition_0;partition_1;partition_2
2018-11-29 16:00:00.000;S09;500985871;3.1.c;ZIV0004354363;ZIV0042507197;;W;6;3;;;S09-ZO-20181129-1600_20181129174529.zip;;2018;11;29
2018-12-03 14:30:00.000;S09;503386871;3.1.c;ZIV0004324347;ZIV0044225357;;W;1;1;;;S09-ZO-20181203-1430_20181203174515.zip;;2018;12;3
2018-12-03 14:30:00.000;S09;503436831;3.1.c;ZIV0004424894;SAG0175672910;;W;2;7;;;S09-ZO-20181203-1430_20181203174515.zip;;2018;12;3
2018-12-03 15:30:00.000;S09;503456581;3.1.c;ZIV0004312512;LGZ0098283965;;W;3;13;;;S09-ZO-20181203-1530_20181203174528.zip;;2018;12;3
2018-12-03 17:00:00.000;S09;503455481;3.1.c;ZIV0004346595;SOG0940019404;;W;1;44;;;S09-ZO-20181203-1700_20181203174511.zip;;2018;12;3
2018-12-12 07:30:00.000;S09;507063764;3.1.c;ZIV0004424921;ORB0000621475;;W;6;1;;;S09-ZO-20181212-0730_20181212173534.zip;;2018;12;12
2018-12-17 14:30:00.000;S09;509644271;3.1.c;ZIV0004330998;ZIV0042676045;;W;1;66;;;S09-ZO-20181217-1430_20181217174513.zip;;2018;12;17
2018-12-18 14:30:00.000;S09;510046291;3.1.c;ZIV0004316264;SOG0940110489;;W;3;2;;;S09-ZO-20181218-1430_20181218174507.zip;;2018;12;18
2018-12-24 07:30:00.000;S09;513085011;3.1.c;ZIV0004312550;ZIV0042358488;;W;1;30;;;S09-ZO-20181224-0730_20181224174557.zip;;2018;12;24
2018-12-26 16:00:00.000;S09;514389881;3.1.c;ZIV0004337126;ZIV0042709178;;W;5;4;;;S09-ZO-20181226-1600_20181226174539.zip;;2018;12;26
2018-12-31 08:00:00.000;S09;516720441;3.1.c;ZIV0004323824;SOG0100050906;;W;6;4;;;S09-ZO-20181231-0800_20181231174529.zip;;2018;12;31
2019-01-03 16:00:00.000;S09;518883951;3.1.c;ZIV0000034896;ELS0032014920;;W;1;2;;;S09-ZO-20190103-1600_20190103174613.zip;;2019;1;3
2019-01-03 17:00:00.000;S09;518885711;3.1.c;ZIV0000034873;SOG0040101535;;W;3;1;;;S09-ZO-20190103-1700_20190103174518.zip;;2019;1;3
2019-01-03 17:00:00.000;S09;518887481;3.1.c;ZIV0004417757;ZIV0035246024;;W;1;44;;;S09-ZO-20190103-1700_20190103174518.zip;;2019;1;3
2019-01-03 23:00:00.000;S09;518886381;3.1.c;ZIV0004424979;SAG0175604573;;W;6;1;;;S09-ZO-20190103-2300_20190104054530.zip;;2019;1;3
2019-01-08 14:30:00.000;S09;521109271;3.1.c;ZIV0004425089;ITE0131405970;;W;1;98;;;S09-ZO-20190108-1430_20190108174516.zip;;2019;1;8
2019-01-08 15:00:00.000;S09;521215421;3.1.c;ZIV0004323714;ZIV0043913846;;W;3;14;;;S09-ZO-20190108-1500_20190108174545.zip;;2019;1;8
2019-01-14 16:30:00.000;S09;523987091;3.1.c;ZIV0000036297;ZIV0042499448;;W;1;1;;;S09-ZO-20190114-1630_20190114173422.zip;;2019;1;14
2019-01-15 16:00:00.000;S09;524498631;3.1.c;ZIV0004316824;ZIV0040150722;;W;3;13;;;S09-ZO-20190115-1600_20190115173405.zip;;2019;1;15
2019-01-18 14:30:00.000;S09;525861641;3.1.c;ZIV0004327572;ELS0032017174;;W;6;2;;;S09-ZO-20190118-1430_20190118173358.zip;;2019;1;18
2019-01-29 16:00:00.000;S09;530650651;3.1.c;ZIV0004323625;ZIV0044083822;;W;1;66;;;S09-ZO-20190129-1600_20190129173336.zip;;2019;1;29
2019-02-04 14:30:00.000;S09;534889111;3.1.c;ZIV0004312522;SOG0940081659;;W;3;2;;;S09-ZO-20190204-1430_20190204173340.zip;;2019;2;4
2019-02-11 16:00:00.000;S09;538587591;3.1.c;ZIV0004310670;SAG0146435247;;W;1;30;;;S09-ZO-20190211-1600_20190211173315.zip;;2019;2;11
2019-02-11 17:00:00.000;S09;538589411;3.1.c;ZIV0004324367;ZIV0040989968;;W;6;3;;;S09-ZO-20190211-1700_20190211173255.zip;;2019;2;11
2019-03-05 14:00:00.000;S09;551472311;3.1.c;ZIV0004310702;ZIV0044249904;;W;1;44;;;S09-ZO-20190305-1400_20190305174505.zip;;2019;3;5
2019-03-11 14:30:00.000;S09;555314961;3.1.c;ZIV0004323682;SAG0115241128;;W;3;1;;;S09-ZO-20190311-1430_20190311174507.zip;;2019;3;11
2019-03-11 17:30:00.000;S09;555406891;3.1.c;ZIV0004330749;SAG0175602048;;W;1;2;;;S09-ZO-20190311-1730_20190311174504.zip;;2019;3;11
2019-03-14 14:00:00.000;S09;557731451;3.1.c;ZIV0004424790;ZIV0041023717;;W;4;2;;;S09-ZO-20190314-1400_20190314174506.zip;;2019;3;14
2019-03-19 16:00:00.000;S09;559662511;3.1.c;ZIV0004327639;ZIV0048610750;;W;3;14;;;S09-ZO-20190319-1600_20190319174508.zip;;2019;3;19
2019-03-22 13:30:00.000;S09;561751821;3.1.c;ZIV0004316754;ZIV0040107390;;W;6;4;;;S09-ZO-20190322-1330_20190322174509.zip;;2019;3;22
2019-04-01 16:00:00.000;S09;567695504;3.1.c;ZIV0000034866;SAG0195802937;;S;1;98;;;S09-ZO-20190401-1600_20190401174541.zip;;2019;4;1
2019-04-03 17:30:00.000;S09;571435344;3.1.c;ZIV0004316787;SAG0195802937;;S;3;13;;;S09-ZO-20190403-1730_20190403174511.zip;;2019;4;3
2019-04-03 18:30:00.000;S09;571459164;3.1.c;ZIV0004312466;SAG0195802937;;S;1;1;;;S09-ZO-20190403-1830_20190404054514.zip;;2019;4;3
2019-04-08 15:30:00.000;S09;574291041;3.1.c;ZIV0004425120;ZIV0042627271;;S;6;1;;;S09-ZO-20190408-1530_20190408174518.zip;;2019;4;8
2019-04-11 14:00:00.000;S09;576679851;3.1.c;ZIV0004323871;ZIV0043953596;;S;3;2;;;S09-ZO-20190411-1400_20190411174513.zip;;2019;4;11
2019-04-15 16:30:00.000;S09;578800501;3.1.c;ZIV0004404320;SAG0165576974;;S;1;44;;;S09-ZO-20190415-1630_20190415174505.zip;;2019;4;15
2019-04-25 17:30:00.000;S09;584869041;3.1.c;CIR4621609016;SOG0040033229;;S;2;2;;;S09-ZO-20190425-1730_20190426054507.zip;;2019;4;25
2019-04-30 08:00:00.000;S09;587262551;3.1.c;ZIV0004312500;SAG0155453965;;S;1;66;;;S09-ZO-20190430-0800_20190430174505.zip;;2019;4;30
2019-05-07 09:00:00.000;S09;591960001;3.1.c;ZIV0004310933;CIR2081349030;;W;5;13;;;S09-ZO-20190507-0900_20190507174519.zip;;2019;5;7
2019-05-08 11:00:00.000;S09;592617051;3.1.c;ZIV0004323601;ZIV0042538223;;S;1;30;;;S09-ZO-20190508-1100_20190508174536.zip;;2019;5;8
2019-05-08 12:00:00.000;S09;592750561;3.1.c;ZIV0004330749;SAG0155461079;;S;7;1;;;S09-ZO-20190508-1200_20190508174702.zip;;2019;5;8
2019-05-08 12:30:00.000;S09;592798491;3.1.c;ZIV0004354502;ZIV0036345448;;S;4;1;;;S09-ZO-20190508-1200_20190508174702.zip;;2019;5;8
